State,Crop,Season,Sowing_Month,Harvest_Month,Growth_Stage,Soil_Type,Water_Requirement,Fertilizer_Used,Pesticide_Used,Organic_Practice,Major_Disease
Gujarat,Bajra,Rabi,October,February,Vegetative,Light loam soil,Rainfed crop,Urea 60kg/ha,Neem oil for aphids,Green manuring,Downy mildew
Sikkim,Maize,Rabi,November,March,Germination,Black soil with proper drainage facilities,Avoid water stress during grain filling,DAP 150kg/ha at basal dose,Cypermethrin 25EC for stem borer,Trichoderma viride for disease control,Maydis leaf blight causing lesions
Meghalaya,Ginger,Rabi,November,March,Maturity,Laterite soil,High moisture but well drained,FYM 25 tons/ha,Neem-based pesticides,Trichoderma treatment,Soft rot
Maharashtra,Soybean,Rabi,October,February,Germination,Well-drained loamy soil pH 6-7.5,2-3 protective irrigations if available,Sulphur 20-30kg/ha important,Chlorpyrifos 20EC broad spectrum,Trichoderma for disease management,Bacterial pustule Xanthomonas
Tripura,Fruits,Rabi,October,February,Vegetative,Red loam and alluvial soil,Mulching to retain moisture,NPK 70:35:70 g/tree,Neem oil,Organic mulching,Anthracnose
Jammu and Kashmir,Vegetables,Zaid,February,June,Vegetative,Alluvial soil rich in organic matter,Drip irrigation preferred,Compost and FYM 20 tons/ha,Spinosad for caterpillars,Crop rotation,Damping off
Punjab,Wheat,Zaid,March,June,Vegetative,Deep alluvial soil of Indo-Gangetic plains,Moderate requirement 45-65cm through season,Muriate of Potash 40kg/ha for grain quality,Tebuconazole 2DS for Karnal bunt,Neem-based pesticides for pest management,Powdery mildew in dense canopy
Nagaland,Pulses,Kharif,July,October,Fruiting,Red and black soils suitable,Low to moderate 35-50cm,Phosphorus important DAP 100kg/ha,Chlorpyrifos 20EC for various pests,FYM 5 tons/ha light application,Sterility mosaic mite transmitted
Madhya Pradesh,Soybean,Rabi,October,March,Germination,Black cotton soil ideal,Moderate requirement 60-90cm,Rhizobium japonicum inoculation,Quinalphos 25EC for girdle beetle and caterpillars,Rhizobium japonicum culture mandatory,Rust Phakopsora pachyrhizi major disease
Mizoram,Maize,Kharif,June,October,Germination,Alluvial soil of river basins,Avoid water stress during grain filling,DAP 150kg/ha at basal dose,Cypermethrin 25EC for stem borer,Trichoderma viride for disease control,Downy mildew systemic infection
Odisha,Rice,Zaid,February,June,Flowering,Clayey loam soil with good water retention,Flooded fields during growing season with 5-10cm standing water,Urea 46% N 120kg/ha in split doses,Cartap hydrochloride 50SP for BPH and WBPH,Crop rotation with pulses to fix nitrogen,Bacterial leaf blight in warm weather
Uttar Pradesh,Wheat,Zaid,March,June,Sowing,Deep alluvial soil of Indo-Gangetic plains,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",Zinc sulphate 25kg/ha in deficient alkaline soils,Chlorpyrifos 20EC 2ml/L for aphid control,Azotobacter biofertilizer for N fixation,Yellow rust in cool humid weather
Rajasthan,Maize,Zaid,March,June,Germination,Black soil with proper drainage facilities,Moderate requirement 50-75cm,Potash 60kg/ha for strong stalks,Carbofuran 3G at whorl stage,Neem cake 200kg/ha soil application,Downy mildew systemic infection
Tripura,Cotton,Zaid,February,May,Maturity,Clay loam pH 6-8,Drip irrigation most efficient method,Muriate of Potash 60kg/ha for fiber quality,Profenofos 50EC for sucking pests,Intercropping with pulses or marigold,Grey mildew in humid conditions
Nagaland,Oilseeds,Kharif,June,October,Fruiting,Well-drained black soil,Critical at flowering,Sulphur 30kg/ha,Quinalphos 25EC,Neem cake 500kg/ha,White rust
Karnataka,Coffee,Zaid,February,May,Germination,Forest loam,Moderate rainfall 150-200cm,Organic manure,Chlorpyrifos for white stem borer,Shade management,Coffee rust
West Bengal,Wheat,Rabi,November,February,Vegetative,Clay loam in irrigated areas,Avoid water logging which causes root damage,Urea 130kg/ha for nitrogen supply,Tebuconazole 2DS for Karnal bunt,Neem-based pesticides for pest management,Root rot in waterlogged conditions
Rajasthan,Barley,Rabi,October,March,Fruiting,Well-drained loam,2-3 irrigations,DAP 100kg/ha,Propiconazole for leaf rust,Compost,Powdery mildew
Himachal Pradesh,Rice,Kharif,June,October,Germination,Black cotton soil in deltaic regions,High water requirement 150-200cm annually,DAP 18-46-0 100kg/ha as basal,Imidacloprid 17.8SL systemic insecticide,Vermicompost 5 tons/ha for soil health,Blast disease affecting leaves and panicles
Maharashtra,Sugarcane,Rabi,November,February,Sowing,Alluvial soil of river valleys,Critical at tillering and grand growth phase,Potash 120kg/ha important for sugar content,Carbofuran 3G systemic insecticide,Biofertilizers Azospirillum and PSB,Yellow leaf disease phytoplasma
Puducherry,Cotton,Rabi,October,March,Maturity,Clay loam pH 6-8,10-12 irrigations in non-rainy season,Single Super Phosphate 375kg/ha for root growth,Profenofos 50EC for sucking pests,Intercropping with pulses or marigold,Grey mildew in humid conditions
Bihar,Wheat,Kharif,July,November,Fruiting,Deep alluvial soil of Indo-Gangetic plains,Moderate requirement 45-65cm through season,Muriate of Potash 40kg/ha for grain quality,Chlorpyrifos 20EC 2ml/L for aphid control,Compost application 5 tons/ha,Leaf blight complex
Puducherry,Rice,Zaid,March,May,Flowering,Red laterite soil with adequate irrigation,High water requirement 150-200cm annually,Muriate of Potash 0-0-60 60kg/ha,Chlorpyrifos 20EC for stem borer and leaf folder,Neem cake 200kg/ha as soil amendment,Tungro virus spread by leafhoppers
Himachal Pradesh,Maize,Zaid,February,May,Germination,Black soil with proper drainage facilities,Moderate requirement 50-75cm,Potash 60kg/ha for strong stalks,Cypermethrin 25EC for stem borer,FYM 8-10 tons/ha pre-sowing,Downy mildew systemic infection
Sikkim,Potato,Zaid,March,June,Flowering,Alluvial soil with good structure,Light frequent irrigation 8-10 times,High potash NPK 120:60:120 kg/ha,Carbendazim 50WP for dry rot,Bordeaux mixture 1% for late blight,Early blight Alternaria solani common
Andhra Pradesh,Cotton,Zaid,February,May,Sowing,Deep sandy loam well-drained,Critical at flowering and boll formation stages,Muriate of Potash 60kg/ha for fiber quality,Chlorpyrifos 20EC broad spectrum,Pheromone traps for bollworm monitoring,Bacterial blight angular leaf spots
Goa,Coconut,Zaid,February,June,Vegetative,Red loam with good drainage pH 5.5-7,Drip irrigation efficient,Rock phosphate in acidic soils,Neem oil for black headed caterpillar,Neem cake 2kg/palm,Stem bleeding disease
Manipur,Spices,Kharif,June,September,Germination,Well-drained loam,Moderate rainfall,NPK 60:40:40,Neem-based sprays,Mulching,Leaf spot
Sikkim,Maize,Kharif,July,September,Vegetative,Sandy loam with good aeration,Avoid water stress during grain filling,Zinc sulphate 25kg/ha in deficient soils,Chlorantraniliprole 18.5SC for fall armyworm,FYM 8-10 tons/ha pre-sowing,Charcoal rot at maturity
Telangana,Cotton,Kharif,July,October,Germination,Clay loam pH 6-8,Moderate requirement 70-90cm per season,Urea in 3-4 split doses total 150kg/ha,Emamectin benzoate 5SG for bollworm complex,Intercropping with pulses or marigold,Root rot in heavy soils
Chhattisgarh,Rice,Zaid,February,May,Vegetative,Red laterite soil with adequate irrigation,Drip irrigation in System of Rice Intensification (SRI),NPK 20-20-0 complex mixture,Cartap hydrochloride 50SP for BPH and WBPH,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Brown spot causing yield reduction
Puducherry,Sugarcane,Rabi,November,February,Sowing,Black cotton soil with good drainage,High requirement 200-250cm annually,DAP/SSP 200kg/ha phosphorus,Carbofuran 3G systemic insecticide,Biofertilizers Azospirillum and PSB,Smut producing whip-like structures
Andhra Pradesh,Maize,Rabi,October,March,Sowing,Alluvial soil of river basins,Moderate requirement 50-75cm,NPK 20-20-0 at planting,Chlorantraniliprole 18.5SC for fall armyworm,Vermicompost 3-4 tons/ha,Maydis leaf blight causing lesions
Puducherry,Fruits,Kharif,July,November,Sowing,Well-drained loamy soil,Moderate irrigation,NPK 70:35:70 g/tree,Neem oil,Organic mulching,Anthracnose
Meghalaya,Turmeric,Rabi,November,February,Sowing,Red soil,Moderate rainfall 100-150cm,NPK 60:50:120,Neem oil,Mulching,Leaf blotch
Punjab,Rice,Zaid,March,May,Sowing,Clayey loam soil with good water retention,Flooded fields during growing season with 5-10cm standing water,Zinc sulphate 25kg/ha in deficient soils,Tricyclazole 75WP for blast disease,Vermicompost 5 tons/ha for soil health,Tungro virus spread by leafhoppers
Chhattisgarh,Gram,Kharif,June,October,Vegetative,Well-drained loamy soil,Low water requirement,Rhizobium culture,Quinalphos for pod borer,FYM 5 tons/ha,Wilt
Mizoram,Turmeric,Zaid,March,June,Vegetative,Red soil,Moderate rainfall 100-150cm,FYM 25 tons/ha,Neem oil,Mulching,Rhizome rot
Maharashtra,Onion,Kharif,July,October,Fruiting,Alluvial soil of river valleys,Stop irrigation 2 weeks before harvest,High NPK requirement 100:50:50 kg/ha,Dimethoate 30EC systemic insecticide,Sulphur from organic sources,Neck rot storage disease
Assam,Vegetables,Kharif,July,October,Vegetative,Alluvial soil rich in organic matter,Moderate frequent irrigation,NPK 100:60:60 kg/ha,Neem oil for aphids,Crop rotation,Damping off
Madhya Pradesh,Rice,Rabi,November,February,Maturity,Black cotton soil in deltaic regions,Flooded fields during growing season with 5-10cm standing water,Zinc sulphate 25kg/ha in deficient soils,Tricyclazole 75WP for blast disease,Crop rotation with pulses to fix nitrogen,Blast disease affecting leaves and panicles
Bihar,Rice,Kharif,June,October,Germination,Clayey loam soil with good water retention,High water requirement 150-200cm annually,Muriate of Potash 0-0-60 60kg/ha,Tricyclazole 75WP for blast disease,Crop rotation with pulses to fix nitrogen,Tungro virus spread by leafhoppers
Assam,Vegetables,Rabi,November,February,Fruiting,Well-drained loamy soil,Drip irrigation preferred,Compost and FYM 20 tons/ha,Spinosad for caterpillars,Vermicompost,Leaf curl
Uttarakhand,Wheat,Zaid,March,June,Flowering,Deep alluvial soil of Indo-Gangetic plains,Sprinkler irrigation for water efficiency,DAP 120kg/ha at sowing time,Quinalphos 25EC for termite prevention,Azotobacter biofertilizer for N fixation,Leaf blight complex
Jammu and Kashmir,Vegetables,Rabi,November,March,Maturity,Well-drained loamy soil,Moderate frequent irrigation,Compost and FYM 20 tons/ha,Neem oil for aphids,Crop rotation,Damping off
Nagaland,Millet,Zaid,March,June,Flowering,Sandy loam,Low rainfall crop,DAP 60kg/ha,Neem oil,Low input crop,Downy mildew
Gujarat,Cotton,Zaid,March,June,Flowering,Clay loam pH 6-8,Drip irrigation most efficient method,Urea in 3-4 split doses total 150kg/ha,Profenofos 50EC for sucking pests,FYM 10 tons/ha before sowing,Cotton leaf curl virus CLCuV
Mizoram,Maize,Zaid,February,June,Maturity,Well-drained loamy soil pH 5.5-7.5,Moderate requirement 50-75cm,Urea 250kg/ha split application,Chlorantraniliprole 18.5SC for fall armyworm,FYM 8-10 tons/ha pre-sowing,Charcoal rot at maturity
Kerala,Coconut,Rabi,November,February,Fruiting,Laterite soil with manuring,Irrigation every 7-10 days in dry season,Rock phosphate in acidic soils,Neem oil for black headed caterpillar,Neem cake 2kg/palm,Bud rot fungal disease
Punjab,Sugarcane,Rabi,October,March,Sowing,Alluvial soil of river valleys,Frequent irrigation every 7-10 days in summer,NPK 15-15-15 balanced fertilizer,Monocrotophos 36SL for top borer,Biofertilizers Azospirillum and PSB,Red rot most destructive disease
Puducherry,Rice,Rabi,October,March,Sowing,Alluvial soil rich in organic matter,Flooded fields during growing season with 5-10cm standing water,NPK 20-20-0 complex mixture,Cartap hydrochloride 50SP for BPH and WBPH,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Blast disease affecting leaves and panicles
Odisha,Pulses,Kharif,July,November,Fruiting,Clay loam in irrigated areas,Drought tolerant crops,Sulphur 20-30kg/ha for oilseeds,Triazophos 40EC for caterpillars,FYM 5 tons/ha light application,Wilt Fusarium various species
Madhya Pradesh,Wheat,Zaid,March,June,Fruiting,Well-drained loamy soil pH 6-7.5,Avoid water logging which causes root damage,Urea 130kg/ha for nitrogen supply,Propiconazole 25EC for rust diseases,Neem-based pesticides for pest management,Powdery mildew in dense canopy
Haryana,Sugarcane,Rabi,November,March,Fruiting,Red loam with irrigation facilities,High requirement 200-250cm annually,Potash 120kg/ha important for sugar content,Fipronil 0.3G for early shoot borer,Compost 25 tons/ha for soil enrichment,Grassy shoot disease phytoplasma
Chhattisgarh,Rice,Zaid,February,June,Fruiting,Clayey loam soil with good water retention,Drip irrigation in System of Rice Intensification (SRI),Zinc sulphate 25kg/ha in deficient soils,Carbofuran 3G granules for gall midge control,Neem cake 200kg/ha as soil amendment,Blast disease affecting leaves and panicles
Jharkhand,Wheat,Zaid,February,June,Germination,Deep alluvial soil of Indo-Gangetic plains,Sprinkler irrigation for water efficiency,Zinc sulphate 25kg/ha in deficient alkaline soils,Tebuconazole 2DS for Karnal bunt,Compost application 5 tons/ha,Leaf blight complex
Telangana,Cotton,Kharif,June,October,Vegetative,Deep sandy loam well-drained,Moderate requirement 70-90cm per season,Single Super Phosphate 375kg/ha for root growth,Emamectin benzoate 5SG for bollworm complex,Intercropping with pulses or marigold,Wilt disease causing wilting and death
Meghalaya,Rice,Rabi,November,March,Maturity,Red laterite soil with adequate irrigation,Alternate wetting and drying to save 25-30% water,Zinc sulphate 25kg/ha in deficient soils,Tricyclazole 75WP for blast disease,Green manuring with Dhaincha or Sesbania for nitrogen,Blast disease affecting leaves and panicles
Telangana,Rice,Rabi,October,February,Sowing,Black cotton soil in deltaic regions,Flooded fields during growing season with 5-10cm standing water,DAP 18-46-0 100kg/ha as basal,Carbofuran 3G granules for gall midge control,Crop rotation with pulses to fix nitrogen,Tungro virus spread by leafhoppers
Himachal Pradesh,Fruits,Kharif,July,September,Maturity,Red loam and alluvial soil,Mulching to retain moisture,NPK 70:35:70 g/tree,Chlorpyrifos for fruit flies,Pruning,Powdery mildew
Himachal Pradesh,Wheat,Kharif,June,October,Germination,Deep alluvial soil of Indo-Gangetic plains,Avoid water logging which causes root damage,Urea 130kg/ha for nitrogen supply,Quinalphos 25EC for termite prevention,Compost application 5 tons/ha,Leaf blight complex
Chhattisgarh,Sugarcane,Kharif,July,November,Fruiting,Alluvial soil of river valleys,Frequent irrigation every 7-10 days in summer,NPK 15-15-15 balanced fertilizer,Chlorpyrifos 20EC for termite and root borer,Trash mulching conserves moisture,Red rot most destructive disease
Karnataka,Maize,Kharif,June,October,Vegetative,Sandy loam with good aeration,Avoid water stress during grain filling,Zinc sulphate 25kg/ha in deficient soils,Carbofuran 3G at whorl stage,Neem cake 200kg/ha soil application,Maydis leaf blight causing lesions
Madhya Pradesh,Wheat,Rabi,October,February,Sowing,Deep alluvial soil of Indo-Gangetic plains,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",NPK 12-32-16 complete mixture,Mancozeb 75WP broad spectrum fungicide,FYM 8-10 tons/ha incorporated before sowing,Root rot in waterlogged conditions
Nagaland,Rice,Zaid,February,May,Fruiting,Red laterite soil with adequate irrigation,Alternate wetting and drying to save 25-30% water,NPK 20-20-0 complex mixture,Carbofuran 3G granules for gall midge control,Vermicompost 5 tons/ha for soil health,Brown spot causing yield reduction
Tripura,Fruits,Zaid,February,June,Vegetative,Red loam and alluvial soil,Moderate irrigation,NPK 70:35:70 g/tree,Neem oil,Pruning,Powdery mildew
Uttarakhand,Fruits,Zaid,March,May,Sowing,Red loam and alluvial soil,Moderate irrigation,FYM 20-25 kg/tree,Neem oil,Organic mulching,Anthracnose
West Bengal,Potato,Zaid,March,June,Maturity,Loamy soil rich in organic matter,Light frequent irrigation 8-10 times,DAP 130kg/ha at planting,Carbendazim 50WP for dry rot,Trichoderma viride seed treatment,Leaf roll virus aphid transmitted
Kerala,Coconut,Zaid,February,June,Germination,Laterite soil with manuring,Rainfed in coastal belts,Micronutrients B and Mg,Imidacloprid for mite control,Neem cake 2kg/palm,Stem bleeding disease
Karnataka,Maize,Kharif,July,November,Fruiting,Alluvial soil of river basins,Avoid water stress during grain filling,NPK 20-20-0 at planting,Imidacloprid 70WG for aphids and leafhoppers,Vermicompost 3-4 tons/ha,Common rust orange pustules
Madhya Pradesh,Wheat,Rabi,October,March,Vegetative,Clay loam in irrigated areas,"5-6 critical irrigations: CRI, tillering, jointing, flowering, milk, dough stages",DAP 120kg/ha at sowing time,Propiconazole 25EC for rust diseases,Crop rotation with legumes for nitrogen,Karnal bunt quarantine disease
Tamil Nadu,Groundnut,Rabi,October,February,Vegetative,Well-drained alluvial soil pH 6-7,Critical at pegging and pod formation,Gypsum 400kg/ha for calcium and sulphur,Thiamethoxam 25WG systemic,FYM 5-7 tons/ha before sowing,Collar rot seedling disease
Jharkhand,Maize,Zaid,February,June,Sowing,Black soil with proper drainage facilities,Avoid water stress during grain filling,NPK 20-20-0 at planting,Chlorantraniliprole 18.5SC for fall armyworm,Neem cake 200kg/ha soil application,Charcoal rot at maturity
Puducherry,Cotton,Rabi,October,March,Vegetative,Red soil with organic amendments,10-12 irrigations in non-rainy season,Urea in 3-4 split doses total 150kg/ha,Thiamethoxam 25WG systemic insecticide,Neem oil 3% spray for sucking pests,Cotton leaf curl virus CLCuV
Gujarat,Bajra,Zaid,March,June,Vegetative,Sandy soil,Low water requirement,Urea 60kg/ha,Neem oil for aphids,Minimal input crop,Ergot
Uttarakhand,Potato,Rabi,October,March,Fruiting,Well-drained soil pH 5.5-6.5,Drip irrigation very effective,High potash NPK 120:60:120 kg/ha,Metalaxyl+Mancozeb for late blight,Neem cake 500kg/ha at planting,Late blight Phytophthora infestans devastating
Assam,Jute,Zaid,February,June,Maturity,Alluvial soil of river basins,High rainfall crop 150-200cm,Potash 40kg/ha,Neem-based sprays,FYM 10 tons/ha,Stem rot
Tripura,Rice,Zaid,March,May,Fruiting,Red laterite soil with adequate irrigation,Flooded fields during growing season with 5-10cm standing water,NPK 20-20-0 complex mixture,Chlorpyrifos 20EC for stem borer and leaf folder,Neem cake 200kg/ha as soil amendment,Tungro virus spread by leafhoppers
Manipur,Spices,Zaid,March,May,Maturity,Laterite soil,Mulched soil,NPK 60:40:40,Neem-based sprays,Mulching,Leaf spot
Tamil Nadu,Rice,Kharif,June,November,Maturity,Black cotton soil in deltaic regions,High water requirement 150-200cm annually,NPK 20-20-0 complex mixture,Chlorpyrifos 20EC for stem borer and leaf folder,Vermicompost 5 tons/ha for soil health,Blast disease affecting leaves and panicles
Jammu and Kashmir,Rice,Zaid,March,June,Germination,Black cotton soil in deltaic regions,Drip irrigation in System of Rice Intensification (SRI),NPK 20-20-0 complex mixture,Carbofuran 3G granules for gall midge control,Vermicompost 5 tons/ha for soil health,Bacterial leaf blight in warm weather
Assam,Tea,Kharif,June,September,Sowing,Well-drained hill soil,High rainfall 200-300cm,Ammonium sulphate,Copper fungicides,Vermicompost,Blister blight
Puducherry,Cotton,Zaid,March,June,Sowing,Clay loam pH 6-8,Moderate requirement 70-90cm per season,NPK 14-35-14 at recommended doses,Profenofos 50EC for sucking pests,FYM 10 tons/ha before sowing,Cotton leaf curl virus CLCuV
Uttar Pradesh,Rice,Kharif,July,September,Fruiting,Alluvial soil rich in organic matter,Flooded fields during growing season with 5-10cm standing water,Muriate of Potash 0-0-60 60kg/ha,Carbofuran 3G granules for gall midge control,Apply Farm Yard Manure 10-12 tons/ha before transplanting,Blast disease affecting leaves and panicles
Arunachal Pradesh,Oilseeds,Kharif,June,September,Germination,Well-drained black soil,Critical at flowering,DAP 120kg/ha,Quinalphos 25EC,Crop rotation,White rust
Sikkim,Wheat,Kharif,July,September,Maturity,Deep alluvial soil of Indo-Gangetic plains,Sprinkler irrigation for water efficiency,Urea 130kg/ha for nitrogen supply,Propiconazole 25EC for rust diseases,Compost application 5 tons/ha,Yellow rust in cool humid weather
Mizoram,Rice,Kharif,June,November,Vegetative,Clayey loam soil with good water retention,High water requirement 150-200cm annually,NPK 20-20-0 complex mixture,Imidacloprid 17.8SL systemic insecticide,Vermicompost 5 tons/ha for soil health,Blast disease affecting leaves and panicles
Haryana,Mustard,Kharif,July,November,Vegetative,Clay loam with good drainage,"2-3 critical irrigations pre-flowering, flowering, siliqua",Potash 40kg/ha for oilseed,Chlorpyrifos 20EC for sawfly,Vermicompost 4 tons/ha,Downy mildew in humid conditions
Meghalaya,Rice,Rabi,November,February,Fruiting,Black cotton soil in deltaic regions,Alternate wetting and drying to save 25-30% water,NPK 20-20-0 complex mixture,Imidacloprid 17.8SL systemic insecticide,Green manuring with Dhaincha or Sesbania for nitrogen,False smut during flowering stage
Rajasthan,Gram,Rabi,October,February,Germination,Well-drained loamy soil,One irrigation at flowering,Rhizobium culture,Quinalphos for pod borer,Crop rotation,Ascochyta blight
Chhattisgarh,Maize,Kharif,June,September,Flowering,Well-drained loamy soil pH 5.5-7.5,Moderate requirement 50-75cm,Urea 250kg/ha split application,Imidacloprid 70WG for aphids and leafhoppers,Trichoderma viride for disease control,Turcicum leaf blight Northern blight
Meghalaya,Potato,Zaid,February,May,Fruiting,Sandy loam well-drained friable,Light frequent irrigation 8-10 times,High potash NPK 120:60:120 kg/ha,Imidacloprid 17.8SL for aphid vectors,Neem cake 500kg/ha at planting,Early blight Alternaria solani common
Tripura,Rice,Zaid,March,May,Fruiting,Red laterite soil with adequate irrigation,Alternate wetting and drying to save 25-30% water,Muriate of Potash 0-0-60 60kg/ha,Cartap hydrochloride 50SP for BPH and WBPH,Green manuring with Dhaincha or Sesbania for nitrogen,False smut during flowering stage
Nagaland,Rice,Kharif,July,September,Germination,Clayey loam soil with good water retention,Drip irrigation in System of Rice Intensification (SRI),DAP 18-46-0 100kg/ha as basal,Tricyclazole 75WP for blast disease,Neem cake 200kg/ha as soil amendment,Sheath blight in humid conditions
Arunachal Pradesh,Fruits,Rabi,November,March,Fruiting,Well-drained loamy soil,Mulching to retain moisture,NPK 70:35:70 g/tree,Neem oil,Pruning,Anthracnose
Karnataka,Coffee,Rabi,November,March,Fruiting,Forest loam,Blossom irrigation,NPK 20-20-20,Chlorpyrifos for white stem borer,Shade management,Berry disease
Himachal Pradesh,Barley,Rabi,November,February,Flowering,Well-drained loam,Low to moderate,Urea 60kg/ha,Propiconazole for leaf rust,Compost,Powdery mildew
Puducherry,Groundnut,Zaid,February,May,Flowering,Red soil with calcium,4-5 irrigations in season,Gypsum 400kg/ha for calcium and sulphur,Thiamethoxam 25WG systemic,Rhizobium culture inoculation mandatory,Tikka disease early and late leaf spot
Kerala,Coconut,Zaid,March,June,Vegetative,Laterite soil with manuring,Rainfed in coastal belts,NPK 500:320:120 g/palm/year,Neem oil for black headed caterpillar,Green manuring with legumes,Bud rot fungal disease
Arunachal Pradesh,Rice,Zaid,February,June,Vegetative,Black cotton soil in deltaic regions,Flooded fields during growing season with 5-10cm standing water,Muriate of Potash 0-0-60 60kg/ha,Carbofuran 3G granules for gall midge control,Crop rotation with pulses to fix nitrogen,Blast disease affecting leaves and panicles
Meghalaya,Turmeric,Rabi,October,March,Flowering,Sandy loam,Moderate rainfall 100-150cm,NPK 60:50:120,Neem oil,Mulching,Rhizome rot
Tamil Nadu,Rice,Kharif,June,November,Maturity,Black cotton soil in deltaic regions,Alternate wetting and drying to save 25-30% water,Urea 46% N 120kg/ha in split doses,Cartap hydrochloride 50SP for BPH and WBPH,Vermicompost 5 tons/ha for soil health,Sheath blight in humid conditions
Gujarat,Bajra,Rabi,October,March,Germination,Light loam soil,Rainfed crop,Urea 60kg/ha,Neem oil for aphids,Green manuring,Downy mildew
Uttar Pradesh,Mustard,Rabi,November,March,Flowering,Sandy loam to clay loam,Low to moderate 30-45cm,Boron 1kg/ha micronutrient deficiency common,Quinalphos 25EC for aphid control,Crop rotation with cereals,White rust Albugo candida pustules
Karnataka,Arecanut,Rabi,November,February,Sowing,Laterite soil,High moisture requirement,NPK 100:40:140 g/palm/year,Chlorpyrifos for spindle bug,Green manuring,Yellow leaf disease
Karnataka,Cotton,Rabi,November,March,Maturity,Deep sandy loam well-drained,Critical at flowering and boll formation stages,Urea in 3-4 split doses total 150kg/ha,Emamectin benzoate 5SG for bollworm complex,Bt cotton varieties for bollworm resistance,Root rot in heavy soils
Gujarat,Groundnut,Rabi,October,February,Flowering,Sandy loam ideal for pod development,Avoid excess moisture causing diseases,Potash 50kg/ha in deficient soils,Quinalphos 25EC for leaf miner,Crop rotation with cereals,Stem rot Sclerotium rolfsii
Madhya Pradesh,Cotton,Zaid,March,June,Sowing,Red soil with organic amendments,Critical at flowering and boll formation stages,Urea in 3-4 split doses total 150kg/ha,Chlorpyrifos 20EC broad spectrum,Pheromone traps for bollworm monitoring,Wilt disease causing wilting and death
Punjab,Cotton,Kharif,June,October,Germination,Deep sandy loam well-drained,10-12 irrigations in non-rainy season,Urea in 3-4 split doses total 150kg/ha,Thiamethoxam 25WG systemic insecticide,Bt cotton varieties for bollworm resistance,Bacterial blight angular leaf spots
Meghalaya,Rice,Kharif,July,September,Sowing,Black cotton soil in deltaic regions,Flooded fields during growing season with 5-10cm standing water,Muriate of Potash 0-0-60 60kg/ha,Imidacloprid 17.8SL systemic insecticide,Neem cake 200kg/ha as soil amendment,Sheath blight in humid conditions
Tamil Nadu,Banana,Rabi,October,February,Vegetative,Deep rich loamy soil 75cm depth,Drip irrigation best method,"Micronutrients Zn, B for bunch",Chlorpyrifos 20EC for banana weevil,Pseudomonas fluorescens for panama wilt,Rhizome rot in waterlogged conditions
Andhra Pradesh,Cotton,Zaid,March,June,Germination,Deep sandy loam well-drained,Drip irrigation most efficient method,Urea in 3-4 split doses total 150kg/ha,Emamectin benzoate 5SG for bollworm complex,FYM 10 tons/ha before sowing,Bacterial blight angular leaf spots
Arunachal Pradesh,Pulses,Kharif,June,September,Flowering,Sandy loam with moderate fertility,Low to moderate 35-50cm,Low nitrogen 20kg N/ha,Triazophos 40EC for caterpillars,Neem-based pesticides safe,Wilt Fusarium various species
Nagaland,Maize,Rabi,November,February,Germination,Alluvial soil of river basins,Moderate requirement 50-75cm,NPK 20-20-0 at planting,Carbofuran 3G at whorl stage,FYM 8-10 tons/ha pre-sowing,Downy mildew systemic infection
Bihar,Rice,Kharif,June,October,Sowing,Clayey loam soil with good water retention,Alternate wetting and drying to save 25-30% water,Urea 46% N 120kg/ha in split doses,Cartap hydrochloride 50SP for BPH and WBPH,Neem cake 200kg/ha as soil amendment,Sheath blight in humid conditions
Uttar Pradesh,Mustard,Rabi,October,March,Flowering,Sandy loam to clay loam,"2-3 critical irrigations pre-flowering, flowering, siliqua",Potash 40kg/ha for oilseed,Chlorpyrifos 20EC for sawfly,Crop rotation with cereals,Downy mildew in humid conditions
Karnataka,Arecanut,Zaid,February,May,Flowering,Well-drained red loam,High moisture requirement,NPK 100:40:140 g/palm/year,Chlorpyrifos for spindle bug,Mulching,Bud rot
Odisha,Rice,Rabi,October,February,Flowering,Black cotton soil in deltaic regions,Flooded fields during growing season with 5-10cm standing water,DAP 18-46-0 100kg/ha as basal,Carbofuran 3G granules for gall midge control,Green manuring with Dhaincha or Sesbania for nitrogen,Brown spot causing yield reduction
Rajasthan,Gram,Zaid,March,June,Sowing,Well-drained loamy soil,Low water requirement,Rhizobium culture,Quinalphos for pod borer,FYM 5 tons/ha,Ascochyta blight
Jharkhand,Maize,Kharif,June,November,Flowering,Well-drained loamy soil pH 5.5-7.5,Moderate requirement 50-75cm,DAP 150kg/ha at basal dose,Carbofuran 3G at whorl stage,Trichoderma viride for disease control,Maydis leaf blight causing lesions
West Bengal,Rice,Zaid,February,June,Sowing,Alluvial soil rich in organic matter,Alternate wetting and drying to save 25-30% water,Urea 46% N 120kg/ha in split doses,Cartap hydrochloride 50SP for BPH and WBPH,Crop rotation with pulses to fix nitrogen,Brown spot causing yield reduction
Madhya Pradesh,Wheat,Zaid,March,May,Germination,Deep alluvial soil of Indo-Gangetic plains,Moderate requirement 45-65cm through season,Zinc sulphate 25kg/ha in deficient alkaline soils,Mancozeb 75WP broad spectrum fungicide,Neem-based pesticides for pest management,Loose smut seed-borne disease
